"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","963","goods_004-商品11查询成功（库存0）","test_case","2026-03-23","passed","2026-03-23","TestGoodsdetail","test_case_goodsdetail_yaml","",""
"","583","goods_006-不存在的商品13查询失败","test_case","2026-03-23","passed","2026-03-23","TestGoodsdetail","test_case_goodsdetail_yaml","",""
"直接使用login_test_data_params fixture获取测试数据","582","登录测试点 -密码错误","test_case","2026-03-23","passed","2026-03-23","TestLogin","test_case_login","",""
"直接使用login_test_data_params fixture获取测试数据","737","登录测试点 -登录账号为空","test_case","2026-03-23","passed","2026-03-23","TestLogin","test_case_login","",""
"直接使用goods_test_data_params fixture获取测试数据","882","商品详情测试点 -商品3","test_case","2026-03-23","passed","2026-03-23","TestGoodsdetail","test_case_goodsdetail","",""
"直接使用goods_test_data_params fixture获取测试数据","934","商品详情测试点 -不存在的商品9999999","test_case","2026-03-23","passed","2026-03-23","TestGoodsdetail","test_case_goodsdetail","",""
"","709","goods_009-输入英文字符查询商品失败","test_case","2026-03-23","passed","2026-03-23","TestGoodsdetail","test_case_goodsdetail_yaml","",""
"","632","login_003-登录帐号不存在","test_case","2026-03-23","passed","2026-03-23","TestLogin","test_case_login_yaml","",""
"","722","login_005-登录密码为空","test_case","2026-03-23","passed","2026-03-23","TestLogin","test_case_login_yaml","",""
"","717","goods_001-商品1查询成功（库存0）","test_case","2026-03-23","passed","2026-03-23","TestGoodsdetail","test_case_goodsdetail_yaml","",""
"","737","login_007-登录帐号有中文字符","test_case","2026-03-23","passed","2026-03-23","TestLogin","test_case_login_yaml","",""
